kabupaten,kecamatan,x1_banjir,x2_angin,x3_gempa,x4_longsor,x5_kebakaran,latitude,longitude,cluster
kabupaten karawang,cilamaya kulon,0.1162790697674418,0.3703703703703703,0.0,0.0,0.0,-6.226563,107.504237,0
kabupaten karawang,cilamaya wetan,0.1727574750830564,0.4259259259259259,0.0,0.0057803468208092,0.0512820512820512,-6.242392,107.5863,0
kabupaten karawang,cilebar,0.0498338870431893,0.4074074074074074,0.0,0.0,0.0,-6.138917,107.390584,0
kabupaten karawang,jatisari,0.0299003322259136,0.0,0.0,0.0,0.0,-6.3644773,107.5293731,0
kabupaten karawang,jayakerta,0.0299003322259136,0.1851851851851851,0.0,0.0,0.0256410256410256,-6.0906804,107.3120533,0
kabupaten karawang,karawang timur,0.0299003322259136,0.0,0.0,0.0,0.0,-6.266986,107.332616,0
kabupaten karawang,klari,0.0,0.0,0.0,0.0231213872832369,0.0,-6.35415,107.342798,0
kabupaten karawang,kota baru,0.0099667774086378,0.037037037037037,0.0,0.0,0.0512820512820512,-6.399635,107.484898,0
kabupaten karawang,kutawaluya,0.0465116279069767,0.074074074074074,0.0,0.0,0.0,-6.166162,107.337106,0
kabupaten karawang,lemahabang,0.0066445182724252,0.3148148148148147,0.0,0.0,0.0256410256410256,-6.2879494,107.4519021,0
kabupaten karawang,majalaya,0.0,0.0,0.0,0.0,0.0,-6.268176,107.366553,0
kabupaten karawang,pakisjaya,0.0697674418604651,0.0185185185185185,0.0014409221902017,0.0,0.0,-6.003527,107.1482124,0
kabupaten karawang,pangkalan,0.0598006644518272,0.2037037037037037,0.0,0.0346820809248554,0.4102564102564102,-6.5017,107.21927,0
kabupaten karawang,pedes,0.0730897009966777,0.2962962962962963,0.0,0.0,0.0,-6.10333,107.3651281,0
kabupaten karawang,purwasari,0.0365448504983388,0.1666666666666666,0.0043227665706051,0.0,0.0256410256410256,-6.3891076,107.4094033,0
kabupaten karawang,rawamerta,0.0,0.0,0.0,0.0,0.0,-6.2454357,107.3602009,0
kabupaten karawang,rengasdengklok,0.0697674418604651,0.0,0.0,0.0,0.0,-6.1539406,107.2942982,0
kabupaten karawang,tegalwaru,0.0066445182724252,0.0925925925925925,0.0086455331412103,0.0578034682080924,0.0,-6.270251,107.5683513,0
kabupaten karawang,telagasari,0.0099667774086378,0.1296296296296296,0.0,0.0173410404624277,0.0,-6.4592195,108.2378716,0
kabupaten karawang,telukjambe barat,0.1295681063122923,0.0,0.0,0.0404624277456647,0.0,-6.3363148,107.314024,0
kabupaten karawang,telukjambe timur,0.0930232558139534,0.0185185185185185,0.0,0.0115606936416184,0.0256410256410256,-6.343452,107.296377,0
kabupaten karawang,tempuran,0.1461794019933555,0.3333333333333333,0.0043227665706051,0.0,0.0,-6.1929994,107.4684679,0
kabupaten karawang,tirtajaya,0.0564784053156146,0.2592592592592592,0.0,0.0,0.0,-6.045243,107.234552,0
kabupaten karawang,tirtamulya,0.0465116279069767,0.4074074074074074,0.0014409221902017,0.0115606936416184,0.1025641025641025,-6.337084,107.449801,0
kabupaten kuningan,ciawigebang,0.0166112956810631,0.0185185185185185,0.0014409221902017,0.0404624277456647,0.0256410256410256,-6.9732586,108.5828556,0
kabupaten kuningan,cibeureum,0.0132890365448504,0.0185185185185185,0.0,0.0231213872832369,0.1282051282051282,-7.0513827,108.7236715,0
kabupaten kuningan,cibingbin,0.0099667774086378,0.0,0.0,0.0231213872832369,0.0,-7.0547695,108.758533,0
kabupaten kuningan,cidahu,0.0265780730897009,0.0,0.0,0.0,0.0512820512820512,-6.9812109,108.6410316,0
kabupaten kuningan,cigandamekar,0.0066445182724252,0.0,0.0,0.0057803468208092,0.0512820512820512,-6.888295,108.532877,0
kabupaten kuningan,cigugur,0.0,0.0185185185185185,0.0,0.0462427745664739,0.0,-6.9702709,108.4562982,0
kabupaten kuningan,cilebak,0.0,0.0555555555555555,0.0043227665706051,0.2947976878612716,0.0512820512820512,-7.17751,108.545201,0
kabupaten kuningan,cilimus,0.0033222591362126,0.0185185185185185,0.0028818443804034,0.0057803468208092,0.1538461538461538,-6.866292,108.4977775,0
kabupaten kuningan,cimahi,0.0398671096345514,0.0,0.0,0.0635838150289017,0.0256410256410256,-6.9883843,108.6968843,0
kabupaten kuningan,ciniru,0.0,0.0,0.0,0.1560693641618497,0.0,-7.0427312,108.5005269,0
kabupaten kuningan,cipicung,0.0099667774086378,0.0,0.0043227665706051,0.0231213872832369,0.0,-6.9455203,108.542759,0
kabupaten kuningan,ciwaru,0.0299003322259136,0.0185185185185185,0.0014409221902017,0.1502890173410404,0.1025641025641025,-7.0775139,108.6271632,0
